size,time_ms,iterations
100,0,2094
200,0,5103
300,0,8692
400,0,12020
500,0,15444
600,0,20057
700,0,23725
800,0,27557
900,1,31337
1000,0,35101
2000,0,79022
3000,1,127795
4000,1,174023
5000,3,230964
6000,2,280340
7000,11,330576
8000,4,380552
9000,3,449777
10000,9,502365
