size,time_ms,iterations
100,0,642
200,0,1531
300,0,2756
400,0,3675
500,0,4405
600,0,5895
700,0,6802
800,0,8308
900,0,9857
1000,0,10032
2000,0,24509
3000,0,39070
4000,1,55246
5000,0,71258
6000,0,81945
7000,0,100847
8000,2,115948
9000,1,140306
10000,1,144497
